"","Abigail","Barney","Beans","Bene","Blondie","Brain","Brie","Brigit","Bubbles","Candice","Cashew","Celine","Chad","Chilli","Chips","Chopper","Coffee","Cyclops","Daring","Dash","Ditto","Domino","Doodle","Ester","Francis","Genevieve","Gina","Goggles","Gogo","Hazel","Helen","Jacquei","Julia","Lauren","Longnose","Louis","Michelle","Mike","Milo","Nacho","Nancy","Naomi","Nikki","Nina","Opal","Pearl","Penny","Qantas","Regan","Ross","Rudolph","Shaddow","Star","Stripes","Syrup","Themeda","Therese","Tim","Trevor","Twinkie","Tyrone"
"Cashew",20.5273429185073,519.184726690399,435.516113569496,146.332387940805,114.407244255779,114.109248396321,539.828772461264,460.237149913169,309.926041897865,99.6530106292495,0,79.5000385409915,72.8763773429392,372.721627728665,461.644783007853,220.798844827249,517.354470931558,504.949214715643,51.9850255004714,61.051721567823,119.386372690327,133.118004543127,432.555925633358,33.8951646298689,371.208382227104,591.243756756685,665.589383056698,353.876659873038,641.851318567382,19.3324810027099,19.5679262365593,81.5542538645249,41.7499455028958,369.416289021766,294.7126996759,358.739370731597,359.109914102759,102.794160252197,351.674572645813,42.4699864047739,183.292788808085,154.68508656756,109.556122481183,376.071654891019,407.677853595238,615.133174629431,470.483301677557,23.8071209509016,77.2461774688586,81.6638962592055,15.293939618936,198.35204465997,257.490562200404,210.073106414015,407.282583040208,450.80658525506,343.110927721523,119.095780952948,53.3837775964237,155.390691228015,139.232947235164
"Celine",60.45442403049,589.794011628851,499.199154103287,222.949421635528,193.892025550971,165.124552619803,606.752338597644,532.323443825376,385.02417293846,170.847297514821,79.5000385409915,0,152.376327731761,432.601430759266,532.806906296154,290.931933998567,580.862179559372,574.448649684403,126.106699739381,121.73650110058,110.647626202427,70.2849345032877,500.34048680512,100.9814896054,441.966583717137,650.055268400219,728.149540100116,422.475001907463,704.292752902972,94.0272970001253,62.3879449121954,3.49215364652883,39.6697260877989,437.022881431924,365.200369477205,434.005207141057,432.819798291511,23.7267079631046,426.945232540205,37.2331312897846,254.615499706723,231.11261064829,156.655028816944,444.452700157233,478.590399609312,674.545324641144,544.154746642774,55.8865809374371,155.37925937936,26.7246286216071,91.4214528353607,123.262777433116,316.775871735019,276.321178145759,479.36286116721,521.100393318768,419.779228696308,198.591262102972,131.739883201558,231.911024409537,79.1573625087926
"Chad",92.5199482791935,456.943806316273,382.263648023359,81.0356235799324,41.5855694506458,105.353961986915,481.749784018932,396.571333987645,243.479194116861,58.3085353084334,72.8763773429392,152.376327731761,0,325.174672069597,399.099133884433,164.074317242443,463.381837544422,444.104860252283,41.1996961325637,68.1689055512642,164.823498608572,201.302296617183,374.387231085277,62.993677828248,309.996205047175,541.869738616599,611.59737214961,295.724330024663,588.128734894161,60.9272808283808,90.9571690082056,154.403963243673,114.042544368922,312.295912495601,235.101148133051,291.656405740379,294.123691404056,175.612779002091,284.633729705797,115.290220241923,126.651050749177,89.3695989413044,107.915275503798,317.861135095294,345.878690436405,564.907726394328,404.818114587787,96.5768352516189,20.0972569418664,152.448739430295,62.4071509302343,269.387807819711,214.796691347565,160.174201379611,344.006515758921,389.401339496992,274.193381224247,46.2321967170352,25.7275023222436,89.8196686661014,206.146373069766
"Chilli",382.179231114969,189.427150747591,72.6897300331507,249.260630952631,300.318146063989,424.007124043572,184.905864213913,156.674288960068,152.35710560382,369.175570261345,372.721627728665,432.601430759266,325.174672069597,0,148.053382126207,164.040796169502,150.540904469923,168.536403198493,321.915573465219,314.330804167885,352.476521041687,435.576386965482,96.6738446089587,382.669563790391,98.439785741187,218.527334887966,295.870265101204,75.3805737535494,272.000291318086,353.390618766414,391.208730092893,432.462204397727,408.421307050283,65.7298361405015,112.601933473782,154.386744679743,132.383786017494,448.21657581182,153.523314027064,405.654190764471,199.48795016303,242.203071882751,429.253828964008,74.280168628762,112.084401838981,242.543885797964,182.305301999948,388.105156115517,308.137755807657,447.567562424372,372.267708552365,502.286863379345,115.94182598104,165.138826300393,125.344432670803,131.792360710756,175.530048064021,299.117034913979,349.407856221893,242.239461611423,433.170198967204
"Chips",475.740627904541,57.859718356664,91.3116695340758,318.176089059747,363.594459065352,480.723811009226,95.4272676091671,13.3110862239724,158.902933238128,427.209489778696,461.644783007853,532.806906296154,399.099133884433,148.053382126207,0,241.887034761414,108.671439459998,48.4227356337715,409.88781711791,411.117036873701,471.627956321571,550.340693865389,52.1717679766488,461.815917513014,90.8514166094796,196.29310900528,232.545871999152,113.11374818349,212.069508859143,443.202880718219,481.183209694809,533.455496005863,501.824988283855,102.65390993776,167.60654049366,117.072453941444,107.048212774492,551.94533884563,122.999296212805,500.524597562062,278.680028878195,309.789025916036,488.510954859787,93.0642878382144,54.2299315684365,209.945366972177,39.7619140663008,481.403435735814,386.934910783321,542.34241431514,456.822398537611,620.638289408814,233.093062117865,258.010646446651,55.3603804618926,16.2740445002268,143.216435094446,360.604669413727,424.826564174962,309.304716497298,549.708140790105
"Chopper",234.109440880534,299.027293410485,218.194949773289,85.5026464071696,136.411541462353,260.136531879771,319.320107752191,241.505376010865,102.678510285523,205.216344924334,220.798844827249,290.931933998567,164.074317242443,164.040796169502,241.887034761414,0,299.357937163745,284.276411170804,168.824891480156,169.292433263129,238.650904368715,312.250580622983,211.918078635469,224.673356442534,151.069595905699,378.317998819177,447.641787191406,133.142182304596,424.127106895409,202.014583108872,240.223553306871,291.610695272635,260.321319654251,149.033587816044,74.2960606758751,149.754528698521,144.264380534629,310.296088654529,142.990109644272,258.82820514312,37.8093429020721,78.2240994841542,265.653649742334,155.35553133496,187.685425106683,401.100014562547,254.525654134626,239.829939312554,148.935103842983,300.788354701895,217.275359239629,383.651412021475,71.3803664004024,26.7742063855345,188.61713149456,230.41901193177,143.361824016988,135.100107280305,189.25727406643,78.229612834888,312.659002538024
"Coffee",528.367994109699,92.5643901503038,81.8629199818853,383.552777891447,433.102755935779,555.469807256022,48.5980743325373,121.380409637397,242.741003249104,500.575238348179,517.354470931558,580.862179559372,463.381837544422,150.540904469923,108.671439459998,299.357937163745,0,75.7487063839838,465.675247218573,460.877531980429,503.015201429336,586.026558634602,95.79938446912,523.809529322949,164.050063950196,89.6793142063879,148.36775231731,169.666928602161,124.778188428302,498.137155610753,536.348549820415,580.901186375157,554.751580369182,152.218311699882,230.251608385718,212.149455484577,195.40939992108,597.286510599749,216.461390518,552.390548198023,337.016840650318,375.641632284723,562.040113254522,148.454686653979,136.976949078021,107.312377858714,142.872339314474,534.259828468289,448.149473430616,594.524405261482,515.36178006884,652.812323588614,264.590244097504,307.290065046244,147.817201476008,103.6021270438,239.784888457902,430.986286004465,488.61515730761,375.422538481,583.690701868683
"Cyclops",518.349774608171,21.8879738583599,98.9768883715834,363.070295278597,409.522460296316,527.804434919145,48.5786954643752,57.0740627903685,206.247558219344,473.984340395755,504.949214715643,574.448649684403,444.104860252283,168.536403198493,48.4227356337715,284.276411170804,75.7487063839838,0,453.018748381514,452.744163725504,508.359190733103,588.662793605008,76.3739061798148,506.532270208768,134.141438006753,155.928919230089,184.595838177293,152.02324390179,164.654598553394,486.258678560602,524.421226290986,574.942622598641,544.589376064451,138.349782895442,210.242626115602,165.444996023156,154.583804000219,592.938636340854,171.292956895341,543.02598865937,321.656790728526,354.741192579715,535.419494029784,130.228799598768,98.3884112055245,166.620633901276,71.2766629175568,524.087266781117,431.231148188501,585.038906975858,500.76574214752,658.150541432408,267.522930658494,298.341234590169,102.557374930372,54.8397880743151,191.634909609073,406.686665186847,469.812907706267,354.311378942212,587.532519778298
"Daring",66.4818335603657,467.365864246714,383.86954766638,96.867087519787,75.6661953311253,131.622133858335,487.85689016405,408.652565928729,259.352017254591,94.3714805617803,51.9850255004714,126.106699739381,41.1996961325637,321.915573465219,409.88781711791,168.824891480156,465.675247218573,453.018748381514,0,27.7295654876945,123.727979949113,165.875690184543,380.573124880893,63.6453148232246,319.360279251047,540.336287099594,613.967914041692,301.891953821996,590.255988141641,33.3224034274483,71.4049460331614,127.445646073714,92.1084663120086,317.444506559195,242.799014622516,308.290566158023,307.937764854106,147.847079098003,301.224895669447,91.3065534643299,131.371149412378,105.007795528747,131.2145414764,324.086635656867,355.86470168733,564.078458025347,419.354628050699,71.912754323885,32.4584168231167,132.615486527261,50.4540872139136,235.969985711861,207.355604926073,158.405313532467,355.673493945776,398.933238385422,293.68323721277,80.5319971382566,43.7168578757345,105.811074881722,169.798120914826
"Dash",67.8613016930879,468.060706161477,379.045753897408,108.298835977235,98.1871353734351,157.069487708276,485.525104736693,410.778596705823,265.368267198633,122.027349442523,61.051721567823,121.73650110058,68.1689055512642,314.330804167885,411.117036873701,169.292433263129,460.877531980429,452.744163725504,27.7295654876945,0,98.5843802723752,150.202275233811,378.845447786893,83.3931236972996,320.268505760121,532.736759568581,608.733695226107,300.806690919304,584.921657323672,42.6550585256442,77.8677420950573,122.338980187195,94.0983823691089,315.516326098012,243.517479380149,314.290731609295,311.996304224421,141.108622065681,307.262221726788,91.5223167693753,133.434550901601,115.685990826354,155.768916053522,322.823403779039,356.893131495728,556.868319794376,423.126283060925,73.7897363440727,55.4290114203103,133.647357210318,66.1129216896233,221.65837048129,198.53521821596,154.842488382268,357.854431499264,399.364540952579,301.80573139672,102.896361061701,70.6350000019508,116.642148368754,152.871607751687
"Ditto",105.875612697583,526.040258338376,423.302675004275,199.558088560466,196.724310562662,233.495468551559,534.63908472945,473.607989974091,340.930984587611,212.257646799408,119.386372690327,110.647626202427,164.823498608572,352.476521041687,471.627956321571,238.650904368715,503.015201429336,508.359190733103,123.727979949113,98.5843802723752,0,84.1473912171694,432.164459674011,153.204382167393,382.394185853151,564.227384950258,646.877918677784,358.527376262101,623.080512987947,114.340294035102,120.761511831513,108.398108132021,116.636690791519,370.393571006179,308.379446504036,388.404729918195,381.90326687338,113.850036690411,381.636489118288,110.567383901526,209.428849876357,205.662483424489,228.714686565209,379.221901671586,418.210345201133,589.252819738968,489.818061885887,108.602395877441,153.957235796355,136.180221422663,133.702887804546,150.117833094426,241.199328594228,216.789232332764,422.046476886378,458.039151181176,380.564107918066,201.399978020495,159.777383025149,206.729297230548,80.844154922936
"Domino",112.749776334058,605.718481178912,505.784790153868,258.4900581031,240.734919398711,233.431960828613,616.542787779588,551.523817249401,412.42407462264,231.947990490959,133.118004543127,70.2849345032877,201.302296617183,435.576386965482,550.340693865389,312.250580622983,586.026558634602,588.662793605008,165.875690184543,150.202275233811,84.1473912171694,0,512.810636110886,162.310218816502,460.164994316964,648.265724352088,730.541296953317,437.592684993962,706.7209309023,140.541032897156,121.729363910849,66.7928293983775,103.270681048388,450.341150341454,384.627993333978,460.932106895517,456.514948150858,55.0670957482679,453.992104392201,98.3282317599584,279.376680889014,265.878206717013,225.515594116669,458.796148983683,496.439993960548,673.266358180456,566.280455343243,110.943984262498,198.208871565948,94.3132260806358,147.839132169529,71.7714361807812,322.776963073847,292.878940955002,499.256159461601,537.29118299552,450.295947066285,245.614654284611,185.901861040563,266.839073100106,9.50267047315611
"Doodle",445.182041366875,95.4409988138869,42.8295006731773,293.618493107051,341.901609380598,462.920745280642,107.448224499823,62.50095774709,147.016031198042,408.315367763117,432.555925633358,500.34048680512,374.387231085277,96.6738446089587,52.1717679766488,211.918078635469,95.79938446912,76.3739061798148,380.573124880893,378.845447786893,432.164459674011,512.810636110886,0,436.081039330028,68.4879820017605,184.447964427428,239.735393471355,78.8172635611241,216.995912866923,413.632314972298,451.905033657832,500.716715407621,471.523821040346,63.3291235685516,139.297261493066,118.001960379666,100.028542283733,518.345639323457,121.733970296281,469.705578858726,249.668034677148,285.459156675352,469.907049136486,56.6042719416015,43.3831735856477,203.093743798776,89.5904839389798,450.981626111107,360.399971088727,511.834967492087,429.183820534959,582.054755977664,191.188808363559,224.030794364954,56.7353202870635,36.022618135322,145.579147491154,339.460913652385,399.951529980542,285.134728335518,511.538486506443
"Ester",51.247149265583,519.638230463688,442.308441719804,143.64141256457,102.390232265039,80.3633766324391,543.521060762667,459.439121099585,306.472749536937,70.1708613831911,33.8951646298689,100.9814896054,62.993677828248,382.669563790391,461.815917513014,224.673356442534,523.809529322949,506.532270208768,63.6453148232246,83.3931236972996,153.204382167393,162.310218816502,436.081039330028,0,372.390877179045,600.57573344353,672.162618989256,357.291745163736,648.581739965154,43.2206155711096,40.5957905650134,103.75003646372,61.4732865457867,373.573387033052,296.960362738749,354.61748832745,357.076444547959,124.652897178917,347.599755180963,65.1220121881567,186.893318414528,152.036294068615,76.3308230449753,379.486077565784,408.429696658262,623.992728789458,467.811549706679,51.7346079547977,75.7438941371632,94.395462688591,19.8448826345593,223.742460579216,269.338043077024,217.815054320978,406.80227035385,451.908166363973,336.870002546277,106.500976165235,37.4975490934719,152.538828368011,169.188176066227
"Francis",385.052077663305,148.023890582624,95.1051147642148,228.961204735509,275.906498389961,395.696746564362,173.229615024515,91.3648776328121,78.7461297082265,341.361926655372,371.208382227104,441.966583717137,309.996205047175,98.439785741187,90.8514166094796,151.069595905699,164.050063950196,134.141438006753,319.360279251047,320.268505760121,382.394185853151,460.164994316964,68.4879820017605,372.390877179045,0,251.825193628317,307.780233166922,28.9782141055584,285.238060343171,352.654776612285,390.721196349474,442.607407754752,411.187704926284,32.7184148997528,76.7747298019182,59.0170239764831,37.242440954629,461.101274782919,60.2108346093469,409.812760383712,188.033459538429,220.647605984961,402.938880789024,25.4490582977826,36.6246463907534,271.193717627458,108.391179077166,390.737313217909,297.117172261389,451.691811317716,366.749702029102,530.773076971659,147.840451203454,167.445851115517,40.108207217089,79.6318518655693,84.33067878319,273.223100192902,335.696350959941,220.231779933892,459.757116760592
"Genevieve",600.597653015157,165.993794422065,161.957322336525,463.639680921796,514.097095545946,637.44958781666,110.566310626832,208.356745422583,330.5108009834,582.409320005754,591.243756756685,650.055268400219,541.869738616599,218.527334887966,196.29310900528,378.317998819177,89.6793142063879,155.928919230089,540.336287099594,532.736759568581,564.227384950258,648.265724352088,184.447964427428,600.57573344353,251.825193628317,0,90.1227162052396,254.021096474355,69.5180883401153,571.91359343244,609.731463396692,649.76911580956,626.79278337063,236.216816484738,313.240795888868,301.661127004943,284.449654492686,664.812869311792,305.829659541773,623.923466121275,415.289570861236,456.043640098587,643.482848809942,233.995895723278,226.428079838992,25.2420647175515,226.936115353151,606.525719630684,525.5207077568,665.721649153414,590.624741622478,712.03430986804,334.206340811972,382.760787111348,237.484864939558,192.784677780702,329.307915380692,512.343427579649,566.582913263288,455.929182271922,644.970355104057
