Key,UseI,Sample,Name,year,S1,S2,S3
EK148-3,S138,EK148,Brie,2015,A043,B062,C035
EK148-5,S041,EK148,Brie,2015,A043,B062,C035
EK61-2,S047,EK61,Cashew,2015,A045,B034,C036
EK62-9,S047,EK62,Hazel,2015,A045,B034,C036
EK61-7,S047,EK61,Cashew,2015,A045,B034,C036
EK62-8,S047,EK62,Hazel,2015,A045,B034,C036
EK61-9,S047,EK61,Cashew,2015,A045,B034,C036
EK61-10,S047,EK61,Cashew,2015,A045,B034,C036
EK62-4,S047,EK62,Hazel,2015,A045,B034,C036
EK39-4,S153,EK39,Sally,2014,A044,B035,C036
EK39-6,S153,EK39,Sally,2014,A044,B035,C036
EK124-6,S033,EK124,Brigit,2015,A014,B037,C011
EK141-3,S033,EK141,Louis,2015,A014,B037,C011
EK141-4,S033,EK141,Louis,2015,A014,B037,C011
EK141-5,S033,EK141,Louis,2015,A014,B037,C011
EK124-9,S033,EK124,Brigit,2015,A014,B037,C011
EK124-5,S033,EK124,Brigit,2015,A014,B037,C011
EK141-1,S033,EK141,Louis,2015,A014,B037,C011
EK13-8,S124,EK13,Nylon,2014,A074,B138,C060
EK48-1,S126,EK48,Dot,2014,A015,B076,C012
EK48-2,S126,EK48,Dot,2014,A015,B076,C012
EK40-2,S118,EK40,Naomi,2014,A075,B077,C012
EK13-4,S004,EK13,Nylon,2014,A009,B024,C009
EK13-6,S004,EK13,Nylon,2014,A009,B024,C009
EK13-7,S004,EK13,Nylon,2014,A009,B024,C009
EK13-2,S004,EK13,Nylon,2014,A009,B024,C009
EK13-3,S004,EK13,Nylon,2014,A009,B024,C009
EK13-1,S004,EK13,Nylon,2014,A009,B024,C009
EK13-9,S109,EK13,Nylon,2014,A009,B024,C009
EK54-10,S110,EK54,Jacquei,2015,A009,B024,C009
EK04-3,S021,EK04,Ester,2014,A009,B024,C009
EK04-4,S021,EK04,Ester,2014,A009,B024,C009
EK139-2,S005,EK139,Chopper,2015,A010,B064,C009
EK139-4,S005,EK139,Chopper,2015,A010,B064,C009
EK139-1,S005,EK139,Chopper,2015,A010,B064,C009
EK139-3,S005,EK139,Chopper,2015,A010,B064,C009
EK62-3,S027,EK62,Hazel,2015,A011,B050,C009
EK98-2,S027,EK98,Ester,2015,A011,B050,C009
EK83-4,S027,EK83,Nancy,2015,A011,B050,C009
EK59-9,S116,EK59,Abigail,2015,A011,B050,C009
EK59-7,S115,EK59,Abigail,2015,A011,B050,C009
EK61-1,S117,EK61,Cashew,2015,A011,B050,C009
EK80-5,S025,EK80,Therese,2015,A012,B007,C010
EK80-6,S025,EK80,Therese,2015,A012,B007,C010
EK13-10,S025,EK13,Nylon,2014,A012,B007,C010
EK80-7,S025,EK80,Therese,2015,A012,B007,C010
EK147-6,S029,EK147,Naomi,2015,A012,B007,C010
EK80-3,S029,EK80,Therese,2015,A012,B007,C010
EK80-4,S029,EK80,Therese,2015,A012,B007,C010
EK80-9,S029,EK80,Therese,2015,A012,B007,C010
EK57-2,S017,EK57,Goggles,2015,A013,B008,C010
EK57-3,S017,EK57,Goggles,2015,A013,B008,C010
EK57-1,S017,EK57,Goggles,2015,A013,B008,C010
